"Japanese, UTF-8, CRLF, Comma-separated Values (CSV) (See RFC4180)."
"ブース記号","ブース番号始","ブース番号終","サークル名(カナ)","サークル名","告知文","メンバー","Webサイト","Twitter","大カテゴリ","小カテゴリ"
"A","1","2","ホウセイブンゲイ","法政文芸","法政大学文学部日本文学科で編集している文芸誌です。","","http://hoseibungei.web.fc2.com/","@hoseibungei","小説","純文学"
"A","3","3","イヌオシュンヨウ","犬尾春陽","小説と、喫茶店紹介記事や音楽紹介記事を書いています。
今回は既刊小説冊子「月夜」「領域」「ワルツ」「乙女椿の咲く季節」「窓辺作品集１～３」に加え、新刊も準備予定です。

日常から踏み外した非日常の景色を読みたい方に。","","http://sanguria.exblog.jp/","@s_inuo","小説","純文学"
"A","4","4","インサイドアウト","InsideOut","『InsideOut』は無料の投稿雑誌です。誰でも描き手に、いつでも読み手になり得る。ジャンルという垣根を越えて表現が伝播し、イメージがイメージを産み出す。
そのときの混然とした空気の力こそが、きっと「ホント」で、面白い。","川端康史、本多篤史、ミツイタカヒロ、わくりはるの、坂井多果、中村叶子","http://www.letsinsideout.com","@InsideOut_Free","小説","純文学"
"A","5","5","ブンガクケッシャネコ","文学結社猫","文学結社猫は猫の主宰する文学結社。イムルダイストの山本清風による戯作小説を発行。新刊は「ミソジニー容認による男受けからのビッチ承認少女とクソサブカルナイーブ野郎の果てもなき殺しあいの小説」を予定。合作企画の『少年憧結社猫』も。これは社会の不条理を考えすぎて真っ白になった脳で書かれた、やさしい不条理。","山本清風","http://ameblo.jp/rehabilog/","@ankipan","小説","純文学"
"A","6","6","モトカノヲゴヤク","元カノを誤訳(旧：童チョコ)","童チョコから元カノを誤訳に名前は変わりましたが日々に変化はなく、目が覚めて新しい一日が始まっていて、退屈でなぜかイライラして、それは刺激的な出来事がないせいだと思ったくせに、生きててよかったと思う夜もあるのだから、小説を書くしかないのかもしれないと逃げています。多分、それはきっと、永遠に。","伊藤佑弥","http://d.hatena.ne.jp/cm-journey/","@motokano_goyaku","小説","純文学"
"A","7","7","シンセン","シンセン。","初参加です。恐らく純文学らしきものを持って行くつもりです。本をつくったことがないのでどのようなものができるか想像できませんが、テーマは大抵「愛」だと思われます。お値段はお安めのはずです。","小辰みなひと","http://overtheelevenpm.web.fc2.com/","@37110k","小説","純文学"
"A","8","8","ファミリーファンドユニット","ファミリーファンド・ユニット","とりあえず本を作ってみたくて、参加してみてどうなるのか分かりませんが、何かあるのかもしれないと思って小説とエッセイを書いたので、読んでほしいです。","","http://familyfundunit.blog.fc2.com/","","小説","純文学"
"A","9","9","ハナモリユキメ","花森ゆきめ","ないしょ話のような作品を作っています。
人差し指を唇にあてて
とんでもなく遠くまで伸びる糸電話で伝えるように書いています。
小さな言葉たちです、よければ耳を傾けにいらしてください。
お待ちしています。","","http://members3.jcom.home.ne.jp/kissxxxx/","@clumsy_wink","小説","純文学"
"A","10","10","キョウトジャンクション","京都ジャンクション","京都で出会った20代による文芸サークル。
今回の文学フリマでは１年ぶりの第４作品集を発行する予定です。
","智東与志文・高瀬遊・安樹茂里・濱松哲朗・松村ショータ・大鴉こう","http://kyotojct.net/","@kyotojct","小説","純文学"
"A","11","11","ダレニモワカラナイ","だれにもわからない。","前作『Lollypop Rainbow』に引き続き、今回はゲストを迎え、新刊『僕らのすーぱーいんたーねっと』を頒布する予定です。純文学の系譜にポップで軽快な線を引くように星座的短編を布置していきたいと思っています。立ち読み歓迎ですので、是非気軽にお立ち寄りください！可愛い表紙でお待ちしてます！","四流色夜空、葛西心中、矢窪秋、斉藤慶次、桂万智、Ｋ坂ひえき、練々子、まここ　他","http://yozora.hatenablog.com/","@yorui_yozora","小説","純文学"
